,Nutr. Units / FU,"Resampled, Randomized Data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Data Without Resampling or Randomization (original study data, after harmonizing methodology)",,,,,,,,,,,
,,Land Use (m2/nutritional unit),,,,,,"GHG Emissions (kg CO2eq/NU, IPCC 2013 incl CC feedbacks)",,,,,,"GHG Emissions (kg CO2eq/NU, IPCC 2007)",,,,,,"Acidifying Emissions (g SO2eq/NU, CML2 Baseline)",,,,,,"Eutrophying Emissions (g PO43-eq/NU, CML2 Baseline)",,,,,,Freshwater Withdrawals (L/NU),,,,,,Stress-Weighted Water Use (L/NU),,,,,,Land Use (m2/FU),,"GHG (kg CO2eq/FU, IPCC 2013 incl. CC feedbacks)",,"Acid. (kg SO2eq/FU, CML2 Baseline)",,"Eutr. (kg PO43-eq/FU, CML2 Baseline)",,Fresh W. (L/FU),,Strs. W. WU (L/FU),
Product,,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max
Bovine Meat (beef herd),2.0,35,42,164,85,369,456,19,20,50,30,105,135,15,17,43,26,90,121,30,38,160,136,329,343,51,57,151,161,207,330,108,135,728,371,"1,297","2,629",103,121,"17,419",221,"45,071","95,685",24.6,988.9,17.6,216.7,30.0,405.0,40.5,335.8,51,"13,516",85,"787,215"
Bovine Meat (dairy herd),2.0,6.2,7.3,22,13,32,54,7.6,9.1,17,17,26,29,6.5,8.0,15,15,23,25,84,111,174,146,252,557,40,41,185,71,768,1271,95,97,"1,375","1,324","2,938","4,430","21,365","23,459","60,692","61,893","92,180","108,521",5.4,179.0,4.8,37.4,69.0,585.2,42.1,1336.0,95,"4,726",135,"118,120"
Lamb & Mutton,2.0,24,30,185,64,221,362,12,12,20,20,27,30,10,11,16,16,22,25,40,41,69,68,75,137,11,12,49,51,64,67,44,49,901,230,"3,565","3,911",129,129,"70,927",129,"270,318","297,490",9.7,5152.5,10.9,36.1,40.7,239.1,11.7,102.7,43,"4,667",497,"344,382"
Pig Meat,1.6,4.6,4.8,11,8.3,19,21,4.3,4.6,7.6,6.5,14,15,4.1,4.3,7.1,6.1,13,14,39,43,88,71,268,290,18,20,47,33,136,147,51,54,"1,110","1,119","2,049","2,198",32,33,"41,327","33,525","83,063","94,147",4.6,177.2,4.1,17.1,35.8,288.8,18.2,146.3,42,"3,905",32,"145,903"
Poultry Meat,1.7,3.7,3.8,7.1,6.4,9.2,12,2.3,2.4,5.7,4.3,12,12,2.2,2.3,5.7,4.5,12,12,23,25,59,37,111,114,13,14,28,20,59,59,11,11,381,214,959,978,12,12,"8,186",193,"28,711","38,132",3.7,35.7,2.3,27.5,17.3,341.7,13.2,176.5,11,"2,720",12,"124,064"
Milk,-,0.8,1.1,9.0,2.1,9.3,32,1.5,1.7,3.2,2.7,4.8,7.0,1.3,1.5,2.8,2.3,4.5,7.1,6.6,8.0,20,21,32,35,2.9,3.0,11,11,19,21,19,19,628,197,"2,593","2,664",201,208,"19,786","9,776","79,193","81,421",0.7,242.1,1.3,14.6,5.6,33.5,2.2,27.9,8,"4,234",16,"90,838"
Cheese,2.2,3.6,4.3,40,9.1,108,146,4.6,4.9,11,8.4,18,27,3.8,4.3,10,7.3,17,26,21,26,75,78,121,138,12,13,45,45,76,87,72,81,"2,539",706,"10,620","11,665",787,874,"81,907","36,442","325,608","358,171",2.8,956.3,4.1,68.2,17.0,131.5,9.2,112.5,27,"20,456",62,"438,954"
Eggs,1.1,3.8,3.9,5.7,5.1,7.9,7.9,2.6,2.6,4.2,3.8,7.6,7.7,2.5,2.6,4.1,3.8,7.5,7.6,18,19,48,49,70,71,11,13,20,19,29,30,126,126,521,570,870,931,369,372,"16,206","16,782","32,923","34,931",3.4,21.7,2.3,7.6,18.3,80.0,10.8,36.6,126,"1,934",371,"88,218"
Fish (farmed),2.3,0.1,0.4,3.7,2.5,4.6,12,2.4,2.5,6.0,3.5,12,14,2.4,2.4,5.5,3.4,11,13,15,15,29,18,48,85,26,31,103,107,160,185,265,490,"1,619",693,"4,592","5,345","2,417","2,456","18,229","3,720","53,759","58,695",0.1,76.1,2.3,38.5,12.2,104.8,8.1,1537.2,60,"48,647",345,"80,081"
Crustaceans (farmed),1.5,0.4,0.4,2.0,0.6,3.5,3.5,5.0,5.4,18,10,35,78,5.0,5.4,16,10,32,65,33,39,90,72,208,266,42,48,154,96,477,610,443,449,"2,380",818,"2,971","19,570","15,570","15,916","86,160","32,998","90,804","666,721",0.1,63.3,5.6,67.1,43.2,330.3,46.4,776.9,0,"23,566",0,"885,950"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min Animal Proteins,,,,,,,,2.3,2.4,,,,,2.2,2.3,,,,,15.2,15.2,,,,,10.8,12.3,,,,,,,,,,,,,,,,,,,2.3,,12.2,,8.1,,,,,
Max. Av. Veg. Pr. (ex. nuts),,,,,,,,,,2.0,,,,,,2.0,,,,,,10.3,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max. Average Veg. Protein,,,,,,,,,,2.0,,,,,,2.0,,,,,,27.6,,,,,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: See table S1 for definitions of retail weight functional units; table S2 for definitions of indicators; Materials and Methods Section 9 for a summary of the resampling and randomization; and 'LCA Meta-Analysis of Food Products - Full Model v0' available from the link in the manuscript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
